,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,teff_gspphot,logg_gspphot,mh_gspphot,tmass_source_id,j_m,h_m,k_m,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
0,3550986021537860224,163.618229,-20.233939,7.818921,-17.77882,10.558747,4.715761,7648.7627,4.1401,-0.7938,10542839-2014024,7.484,7.439,7.353,7.887101,7.986631,7.684096
1,3490916299697558016,178.946972,-25.146523,3.665895,-19.857232,-12.029513,NaN,7704.7124,4.0453,-1.3559,11554730-2508474,7.953,7.886,7.831,8.39383,8.481158,8.174712
2,5661432379838207872,142.670403,-25.616269,5.19835,-5.841075,-21.570642,-3.987801,7795.056,3.8594,-0.4119,09304091-2536582,7.185,7.122,7.052,7.597067,7.68886,7.405093
3,3776913327214291200,161.702261,-5.381455,5.475636,-49.753082,7.346802,15.436993,7840.8936,3.8847,-1.7657,10464859-0522535,7.685,7.63,7.584,8.031265,8.114926,7.85234
4,5679637887211461376,139.604531,-20.371364,7.393014,50.691785,-40.966354,NaN,8081.051,4.2635,0.3564,09182502-2022160,7.538,7.547,7.55,7.806413,7.880832,7.66244
5,2948929497537068544,103.607123,-14.450675,6.197494,-11.393937,18.851987,31.296368,8168.2705,4.0332,-0.5054,06542572-1427026,7.48,7.541,7.426,7.7689,7.824769,7.643175
6,5737326754059917824,134.019628,-11.153821,5.52482,1.407698,-14.234634,-10.708572,8253.903,4.1632,-0.1619,08560470-1109134,7.872,7.804,7.775,8.105901,8.167946,7.967517
7,3589808127845923456,171.691948,-10.402762,5.898362,-41.345325,-11.140806,7.676614,8372.564,4.2626,-0.1046,11264611-1024098,7.981,7.919,7.869,8.255325,8.324453,8.10235
8,3005221984614371456,92.242354,-9.647877,5.693005,-13.878264,4.59695,-6.55182,8564.294,4.1244,-0.1843,06085817-0938523,7.695,7.657,7.643,7.946784,8.000412,7.818603
9,3212624855825952896,74.653754,-4.559328,5.994632,13.068856,-14.452521,22.076103,8687.012,4.1087,-1.4847,04583688-0433332,7.908,7.926,7.919,8.082832,8.111112,8.006256
10,5735570696551108224,135.166647,-13.167228,5.607634,-37.477494,12.77506,29.874483,8875.451,4.2504,0.1112,09004004-1310021,7.863,7.791,7.798,8.080094,8.130723,7.962158
11,5464615675297696640,149.196248,-29.266394,4.994028,-28.342869,10.495841,9.852673,8893.342,4.0277,-1.1952,09564714-2915592,7.921,7.913,7.907,8.04298,8.057069,7.988484
12,3023280397948137088,86.131932,-4.695773,2.902795,-3.911639,-1.921823,37.472305,9025.688,3.5366,0.0494,05443166-0441447,7.134,7.197,7.053,7.326457,7.3594,7.230014
13,5748723260802479488,129.135842,-10.566272,4.551053,-16.283265,-8.81503,16.647022,9144.123,3.9584,-0.9084,08363261-1033585,7.991,7.985,7.995,8.13844,8.15187,8.084623
14,5670584955144424576,148.931256,-19.677084,6.652905,-39.375268,0.091033,10.449513,9418.026,4.1285,-0.3649,09554355-1940374,7.244,7.213,7.188,7.425169,7.461327,7.333576
15,3594461261055238528,181.183883,-7.976715,3.543531,-2.982349,-9.215896,3.330995,9431.05,3.9051,-0.8139,12044413-0758359,7.996,8.036,7.933,8.180228,8.206159,8.100104
16,3560394576895877888,170.677148,-16.166237,6.078865,-46.382568,-5.284467,11.269941,9566.896,4.3171,0.1766,11224257-1609582,7.827,7.826,7.738,8.086903,8.148097,7.946463
17,3039429921660359040,121.261611,-8.890214,1.91107,-3.00761,1.022635,-1.317133,9640.7295,3.4982,0.454,08050280-0853247,7.658,7.604,7.605,7.984689,8.042076,7.839362
18,5685949942948067456,149.785378,-16.011579,5.441224,-31.80526,3.237899,14.570403,9857.868,4.1276,-0.4882,09590852-1600417,7.47,7.504,7.456,7.613641,7.621833,7.567186
19,5688886012655177984,145.640663,-13.978955,3.548111,-16.721457,-6.291424,24.687168,9863.877,3.7635,-0.7955,09423378-1358440,7.787,7.829,7.796,7.852277,7.841455,7.835682
