source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,teff_gspphot,logg_gspphot,mh_gspphot,tmass_source_id,j_m,h_m,k_m,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
75458281197696,44.61949163493268,0.4372530289318131,2.4718649417171226,1.1539674655829728,2.8237307260810605,-15.516421,5053.825,2.8574,-0.0849,02582867+0026141,7.243,6.794,6.653,8.773607713464536,9.278577331419744,8.10794627160664
120190364960512,45.00799417061545,0.8885621585799379,3.9161017393658786,-59.652160273897564,-64.40382928397453,-5.3862348,5077.8394,3.289,-0.0443,03000197+0053197,7.792,7.255,7.137,9.314004989138958,9.829249707238539,8.631511301721027
200596448177152,45.86409376906716,1.2501025302486224,1.7538924125416713,24.144018675209473,-14.797408538391098,31.780704,4686.5254,2.6355,0.2612,03032735+0115006,7.879,7.331,7.114,9.667772307237605,10.308409141687424,8.906937343934032
445237785398912,44.77506952817784,1.510459877852653,1.0295799934392014,4.376024298856095,-9.850996730565123,27.19669,4406.9883,1.9631,-0.3038,02590601+0130378,7.934,7.3,7.12,9.821940006434732,10.505195368895853,9.026357020428733
997948536825216,46.696003947755095,2.714407528333592,3.288234500521389,-13.46243579117067,-8.69943068015995,,9404.728,3.7159,-0.401,03064705+0242519,7.652,7.574,7.577,7.990882435253752,8.00770360526985,7.821712008159082
1066152617449600,46.26169849925982,2.941159994364313,4.473279872561656,14.944683447072103,-4.274779955404866,11.552453,5960.9214,3.4477,0.0928,03050279+0256283,7.171,6.835,6.714,8.251750166729561,8.599608870107893,7.732423943185879
1179848991827328,43.71515976871402,1.6933218979734126,2.514201289372235,14.367357636401364,-27.43992174048904,0.54032004,4961.6353,2.7123,-0.0271,02545161+0141365,7.027,6.465,6.343,8.700301902685975,9.27529757624633,7.976204605927471
1307598498942336,44.500725412194086,2.2305654897288765,0.9456115158904648,2.888252803213895,-8.925378143608333,-4.8478003,4505.3247,1.9117,-0.0242,02580017+0213501,7.198,6.509,6.308,9.229895668990746,9.980836286366447,8.39062565385441
1504716022924544,42.59461202840367,2.443473561751165,7.53171231798524,70.298922550993,-35.803038427641624,35.597664,6423.4004,3.9283,-0.615,02502263+0226370,7.726,7.51,7.443,8.504658387615446,8.73094878748434,8.118834499749287
1511489186391040,42.59394717767663,2.613397614198138,2.141542234024374,13.431677574448717,8.788631627238573,58.40892,4859.65,2.6313,-0.0995,02502252+0236481,7.303,6.722,6.573,9.016174777076795,9.614525062479688,8.276425137872078
